geoRegion,ageRange,sex,pop
UR,0 - 9,male,1788
UR,0 - 9,female,1743
UR,10 - 19,male,2002
UR,10 - 19,female,1782
UR,20 - 29,male,2308
UR,20 - 29,female,2118
UR,30 - 39,male,2365
UR,30 - 39,female,2162
UR,40 - 49,male,2408
UR,40 - 49,female,2316
UR,50 - 59,male,2854
UR,50 - 59,female,2660
UR,60 - 69,male,2440
UR,60 - 69,female,2285
UR,70 - 79,male,1743
UR,70 - 79,female,1769
UR,80+,male,860
UR,80+,female,1216
VD,0 - 9,male,44493
VD,0 - 9,female,42603
VD,10 - 19,male,46963
VD,10 - 19,female,44142
VD,20 - 29,male,54520
VD,20 - 29,female,52102
VD,30 - 39,male,59253
VD,30 - 39,female,59225
VD,40 - 49,male,58141
VD,40 - 49,female,59818
VD,50 - 59,male,56976
VD,50 - 59,female,57674
VD,60 - 69,male,38235
VD,60 - 69,female,40740
VD,70 - 79,male,27461
VD,70 - 79,female,34046
VD,80+,male,14175
VD,80+,female,24195
VS,0 - 9,male,17035
VS,0 - 9,female,16431
VS,10 - 19,male,17654
VS,10 - 19,female,16648
VS,20 - 29,male,21795
VS,20 - 29,female,20743
VS,30 - 39,male,23884
VS,30 - 39,female,22985
VS,40 - 49,male,23203
VS,40 - 49,female,22640
VS,50 - 59,male,26434
VS,50 - 59,female,26386
VS,60 - 69,male,20392
VS,60 - 69,female,21353
VS,70 - 79,male,15391
VS,70 - 79,female,17359
VS,80+,male,7167
VS,80+,female,11003
ZG,0 - 9,male,6768
ZG,0 - 9,female,6426
ZG,10 - 19,male,6560
ZG,10 - 19,female,6236
ZG,20 - 29,male,6874
ZG,20 - 29,female,6442
ZG,30 - 39,male,9389
ZG,30 - 39,female,9094
ZG,40 - 49,male,9914
ZG,40 - 49,female,9549
ZG,50 - 59,male,10989
ZG,50 - 59,female,9977
ZG,60 - 69,male,7309
ZG,60 - 69,female,6918
ZG,70 - 79,male,4998
ZG,70 - 79,female,5300
ZG,80+,male,2426
ZG,80+,female,3625
ZH,0 - 9,male,83884
ZH,0 - 9,female,79562
ZH,10 - 19,male,74061
ZH,10 - 19,female,69562
ZH,20 - 29,male,95413
ZH,20 - 29,female,90891
ZH,30 - 39,male,129509
ZH,30 - 39,female,126244
ZH,40 - 49,male,117497
ZH,40 - 49,female,113149
ZH,50 - 59,male,114265
ZH,50 - 59,female,108798
ZH,60 - 69,male,74674
ZH,60 - 69,female,79288
ZH,70 - 79,male,55346
ZH,70 - 79,female,64572
ZH,80+,male,29650
ZH,80+,female,47058
FL,0 - 9,male,1981
FL,0 - 9,female,1803
FL,10 - 19,male,2022
FL,10 - 19,female,1855
FL,20 - 29,male,2253
FL,20 - 29,female,2230
FL,30 - 39,male,2503
FL,30 - 39,female,2507
FL,40 - 49,male,2683
FL,40 - 49,female,2745
FL,50 - 59,male,3194
FL,50 - 59,female,3240
FL,60 - 69,male,2440
FL,60 - 69,female,2544
